User ID,Resource ID,Ratings,Time Spent (minutes),Topics/Subjects of Interest,Preferred Learning Formats,Learning Goals/Objectives,Publication Year,Citation Count,Popularity Score
1011,793,4.080460555999753,100,Behavioral Economics,Interactive,Advance career,2016,331,5.749086851687064
1011,223,4.907727025068342,40,Development Studies,Text,Advance career,2006,958,9.980700476038907
1011,1245,2.266762000903638,98,Deep Learning,Video,Gain new skills,2016,486,6.867119637615536
1011,731,1.2110481013554382,13,Social Media Management,Text,Advance career,2017,482,1.4875305011262496
1011,1650,1.4943970127750004,109,Physics,Video,Gain new skills,2002,0,1.4666845919189186
1011,602,3.0012872072175805,66,Linguistics,Text,Advance career,2004,240,0.019231836006186054
1011,1549,2.6036329347380933,49,Social Media Management,Video,Personal interest,2020,927,7.241864370001295
1011,1684,4.495220312430233,92,Cultural Studies,Interactive,Advance career,2002,672,4.966020249007938
1011,437,3.2618816372688832,28,Marketing,Video,Advance career,2002,942,5.462867759617433
1011,568,4.5456261278829215,10,Sports Science,Interactive,Gain new skills,2017,603,4.005292364751392
1011,830,3.889828658504103,93,Mathematics,Interactive,Advance career,2013,257,9.856737755919822
1012,1735,4.002240216184319,42,Interior Design,Video,Advance career,2018,119,7.812140036333633
1012,1200,4.018238879661255,23,Photography,Video,Gain new skills,2009,43,7.562506351528352
1012,1108,3.5647433773842225,54,Quantum Mechanics,Interactive,Gain new skills,2005,194,0.5432897456190777
1012,1417,4.575662343345515,56,Development Studies,Interactive,Gain new skills,2005,317,0.34368215287741255
1012,62,4.464389587036621,63,Agriculture,Video,Gain new skills,2020,210,9.053119489698718
1012,86,1.4645815856119015,70,Geology,Video,Gain new skills,2007,354,8.778971704362306
1012,329,4.717545403362818,29,Data Science,Text,Personal interest,2020,140,3.2589243503266863
1012,52,2.286421226934419,35,Cryptocurrency,Interactive,Advance career,2013,105,7.490218155738781
1012,883,1.735786533850796,16,Religious Studies,Text,Personal interest,2010,387,0.30408678768038655
1012,785,1.988457190991132,41,Astronomy,Interactive,Gain new skills,2008,306,8.326816233819494
1012,351,1.03880029819127,110,Theater Arts,Video,Advance career,2003,729,3.4320420542431185
1012,1836,1.9895205842294088,110,Psychology,Video,Advance career,2009,367,9.487499957298105
1012,1586,3.292819692625676,85,Economics,Video,Advance career,2000,723,1.747698869788935
1012,129,2.0475310732912355,75,Photography,Video,Personal interest,2009,168,3.7349912272875363
1012,352,4.410096843421751,116,Graphic Design,Text,Personal interest,2005,795,2.892553178975218
1013,1861,4.703485174109959,34,Social Media Management,Interactive,Advance career,2014,375,9.40905192714448
1013,215,1.3295499114146718,24,Music Theory,Interactive,Gain new skills,2010,544,6.0111455085729695
1013,617,4.825380367902511,58,Religious Studies,Text,Personal interest,2002,745,2.715615727711582
1013,737,4.763595789319833,85,Paleontology,Text,Personal interest,2018,364,9.693130321863082
1013,933,3.86589961748205,46,Robotics,Video,Gain new skills,2017,840,2.656432432585599
1013,505,4.984161823952805,62,Urban Planning,Video,Personal interest,2011,857,8.7120684148482
1013,991,2.057756662922481,34,Macroeconomics,Text,Advance career,2001,248,7.962281518083936
1013,831,4.275254795292161,16,Astronomy,Interactive,Personal interest,2014,192,8.769991961736176
1013,980,3.021075781170496,115,Film Studies,Text,Gain new skills,2008,398,7.286756005228725
1013,1257,4.053032749098248,58,Physics,Interactive,Gain new skills,2005,693,9.108627487784842
1013,156,2.541970829137901,114,Developmental Psychology,Video,Personal interest,2006,955,8.17333639020729
1014,204,1.0238381376472363,111,Business Administration,Video,Personal interest,2002,186,3.0584808366520564
1014,1852,4.785584343389111,71,Game Theory,Interactive,Gain new skills,2012,967,6.435523313108929
1014,1953,2.2808803701676865,108,Cognitive Science,Interactive,Personal interest,2003,381,4.980780780161983
1014,219,1.5843041823412216,49,Economics,Text,Advance career,2009,822,3.41289055714868
1014,997,4.067154998758455,50,Economics,Interactive,Gain new skills,2022,552,7.987719443910988
1014,1795,3.595068275190276,94,Cryptography,Text,Personal interest,2008,982,4.078093080147305
1014,1254,2.053888319404597,105,Mechanical Engineering,Interactive,Personal interest,2012,132,3.9142599842439196
1014,546,1.1349741899020205,43,Public Relations,Text,Gain new skills,2021,353,2.1607531355456864
1014,1302,2.2493727475630734,104,Chemistry,Video,Gain new skills,2000,349,2.9979033037415306
1015,769,3.203652001812968,25,Graphic Design,Text,Personal interest,2006,710,6.419734321306012
1015,1352,4.450273117005489,63,Supply Chain Management,Interactive,Gain new skills,2021,527,2.6638018935076966
1015,1548,4.770264618723493,78,Information Technology,Video,Gain new skills,2001,725,5.168355974742875
1015,1299,2.3370015928046404,46,Public Health,Video,Gain new skills,2021,32,9.114322854196072
1015,973,4.061390587941334,110,Sports Science,Text,Personal interest,2001,811,5.551519113086606
1015,92,4.239667243294107,89,Agriculture,Video,Gain new skills,2002,329,5.8258136894140975
1015,1887,3.0911366627881374,73,Wilderness Survival,Text,Personal interest,2019,152,1.09191786834281
1016,823,3.6665073019762295,102,Paleontology,Video,Gain new skills,2001,725,6.601177054776111
1016,1253,2.0902194243147667,99,Organizational Behavior,Text,Personal interest,2006,114,2.96161712740299
1016,1844,4.744544715350654,110,Human Anatomy,Text,Personal interest,2001,637,6.253885085675261
1016,1443,1.21757075083283,51,Wilderness Survival,Video,Gain new skills,2018,500,5.358246307191244
1016,414,3.8013603826525233,66,Human Rights,Text,Advance career,2022,965,8.527560484298732
1016,1365,4.581287009776871,78,Pharmacology,Interactive,Gain new skills,2011,481,4.666019294078268
1016,1061,2.3921237229926864,71,Interior Design,Interactive,Personal interest,2019,591,6.519548953174187
1017,1802,3.797697657055522,79,Public Relations,Text,Personal interest,2003,686,5.88849610612145
1017,376,2.050190012744096,118,Sociology,Interactive,Personal interest,2018,982,0.24473563933139375
1017,873,1.3405228432969514,40,Cryptocurrency Trading,Text,Gain new skills,2020,381,0.3906523892429914
1017,1366,3.846011518165128,93,Physics,Interactive,Advance career,2016,573,0.40513311003433694
1017,285,4.881989716737623,17,Graphic Design,Interactive,Gain new skills,2015,262,9.633008555611857
1017,867,1.330728915253852,102,Marine Biology,Interactive,Gain new skills,2017,141,6.554289211630792
1017,1216,2.985345698492751,23,Organizational Behavior,Video,Personal interest,2020,11,1.1182175140441641
1017,1055,4.3575881889634935,5,History,Text,Gain new skills,2019,875,2.136044587511199
1017,506,1.3145272232529712,38,Engineering,Text,Gain new skills,2014,611,3.537064895922335
1018,192,2.138804865487496,114,Industrial Psychology,Interactive,Advance career,2019,887,0.8656482140781907
1018,1889,2.6586995325878977,31,Photography,Interactive,Gain new skills,2016,172,7.568650967113342
1018,1926,1.9217905165612088,9,Art History,Text,Advance career,2001,377,0.3199535921874297
1018,654,2.737073428892266,79,Social Media Management,Interactive,Gain new skills,2003,512,4.605506238483759
1018,1893,2.755439108663381,106,Geography,Interactive,Personal interest,2002,709,8.703465272070986
1018,531,3.1930384655353587,99,Culinary Arts,Text,Gain new skills,2022,490,8.500110470811425
1018,1587,3.9901546849951375,116,Wilderness Survival,Text,Gain new skills,2017,424,4.077883732384899
1019,1871,4.4489756746521785,44,Business Administration,Text,Advance career,2013,979,5.269874956149136
1019,1767,4.766957721625451,20,Marketing,Interactive,Advance career,2017,974,6.332859711975846
1019,1346,2.175727219892301,103,Interior Design,Interactive,Personal interest,2019,721,8.33953941363508
1019,874,3.265449641640884,10,Civil Engineering,Text,Gain new skills,2017,411,9.99201669912493
1019,1107,2.0404615339569943,50,Zoology,Text,Advance career,2013,21,7.217167835471146
1019,1830,1.2543410552936836,91,Quantum Computing,Video,Gain new skills,2004,40,0.09793663935881769
1020,1631,4.625810085409263,97,Entrepreneurship,Interactive,Gain new skills,2006,777,5.230884263532607
1020,652,1.0843900683025454,97,Organizational Behavior,Interactive,Advance career,2020,251,2.0376350702822177
1020,1649,1.8515110648512605,25,Business Administration,Interactive,Personal interest,2007,657,2.1064464893789046
1020,1095,4.267479109337549,42,Development Studies,Text,Gain new skills,2018,841,9.610292797895495
1020,723,1.1201125843753834,112,Biochemistry,Interactive,Personal interest,2000,986,8.496108480321213
1020,517,4.189978424092937,105,Artificial Intelligence,Interactive,Gain new skills,2003,787,2.981713689440303
1020,1288,4.300498283337642,54,Materials Science,Video,Gain new skills,2006,911,3.490912520916234
1020,1660,1.1224308953231708,84,Genetics,Interactive,Advance career,2005,64,0.6168685116245076
1020,900,2.8538703324534542,94,Game Design,Interactive,Personal interest,2020,733,5.998335102862287
1021,1517,3.3145178537402864,101,Music Composition,Video,Advance career,2001,945,5.1665341469374795
1021,565,2.2843278209035307,20,Marine Biology,Interactive,Personal interest,2007,456,3.4059385705076215
1021,936,1.1258926238635416,48,Artificial Intelligence,Video,Personal interest,2007,504,6.717179799884719
1021,1996,1.7565145670916578,67,Law,Video,Advance career,2001,482,7.952402206624662
1021,856,2.948957943300196,16,Journalism,Interactive,Advance career,2021,368,8.207937297256414
1021,891,3.592043711875896,90,Civil Engineering,Interactive,Advance career,2004,980,9.334021464799187
1021,362,2.476068200527529,73,Architecture,Interactive,Gain new skills,2003,886,8.806521326326282
1021,802,1.1530290187123289,18,Mechanical Engineering,Text,Advance career,2007,282,2.4588122918796964
1021,1262,3.60961254528958,109,Marketing,Text,Gain new skills,2011,750,4.697607079378879
1021,1868,3.755489500799585,72,Urban Planning,Video,Advance career,2015,950,2.057483760623059
1021,1956,4.943504485264434,6,Human Resources Management,Text,Advance career,2009,871,4.677043320365552
1022,1183,2.302752955764875,22,Marketing,Video,Gain new skills,2017,946,2.8644148295040592
1022,817,4.908162503213889,12,Cognitive Science,Video,Personal interest,2021,798,9.916061002836269
1022,1824,2.632375447576425,53,Industrial Psychology,Interactive,Advance career,2015,596,6.058606234038729
1022,651,3.59607808522288,82,Theater Arts,Text,Advance career,2003,914,2.6432743856076755
1022,6,2.6324277387572,48,Renewable Energy,Interactive,Personal interest,2012,696,2.8792554470506806
1023,1642,1.6298915120204174,56,Linguistics,Interactive,Gain new skills,2011,677,5.338031614214148
1023,897,4.7914232714633,89,Machine Learning,Video,Gain new skills,2012,810,4.571385666798968
1023,260,3.3514542513198307,68,Public Health,Text,Advance career,2004,928,1.4609853103385229
1023,1437,4.109212336096558,96,Engineering,Text,Advance career,2002,322,0.7783479359991208
1023,1250,2.29512979171005,11,Urban Planning,Text,Advance career,2010,641,1.0812326872113787
1024,1607,4.193595499611392,16,Engineering,Text,Personal interest,2022,75,0.6042259798608551
1024,494,4.882755080094586,44,Law,Video,Advance career,2017,119,0.6765774346804443
1024,897,2.0912057436759697,23,Zoology,Video,Gain new skills,2012,810,4.571385666798968
1024,1328,3.3081219170082146,10,Cryptography,Interactive,Personal interest,2010,930,5.071522475824224
1024,1174,4.76332516713541,96,Economics,Interactive,Personal interest,2015,661,7.3915561176012465
1024,1822,4.968640558493052,9,History,Video,Advance career,2001,601,7.919579757299429
1024,1738,3.858603088497503,76,Development Studies,Video,Personal interest,2009,170,1.7009169267170987
1024,1401,2.9838944089798094,97,Information Technology,Text,Personal interest,2005,69,2.3961230950734747
1024,628,4.212242951918115,90,Aerospace Engineering,Video,Gain new skills,2019,601,3.22819635881478
1024,1052,3.0315202255101408,96,Choreography,Video,Advance career,2007,285,4.795189450099448
1024,678,1.6377769319218154,95,Public Relations,Video,Gain new skills,2022,575,4.058757447492556
1024,1442,2.6157801692109026,92,Cultural Studies,Text,Gain new skills,2012,793,4.663657941781906
1024,910,4.659107189851426,43,Civil Engineering,Video,Gain new skills,2012,772,6.7243050967939135
1024,844,1.828136818262735,75,Electrical Engineering,Interactive,Advance career,2012,81,7.514253402284023
1025,1349,3.5765666476039115,93,Psychology,Video,Gain new skills,2018,379,6.718331819931615
1025,1984,4.523916841745911,32,Forensic Science,Video,Advance career,2005,531,7.663197375601052
1025,480,4.521089121443679,90,Economics,Interactive,Advance career,2012,972,9.832040553219475
1025,168,1.247289046966877,12,Law,Video,Advance career,2002,460,4.408694398445812
1025,1079,2.0461084165446928,110,Education,Video,Personal interest,2002,794,7.629389156047458
1025,1805,3.713127469434133,83,Civil Engineering,Interactive,Personal interest,2010,58,4.467921266308441
1025,1871,2.3462667459629616,24,Organizational Behavior,Text,Personal interest,2013,979,5.269874956149136
1025,273,2.11394288257136,70,Music Theory,Video,Advance career,2019,718,3.4084600687638456
1025,1759,4.431578890350949,57,Artificial Intelligence,Interactive,Gain new skills,2011,26,4.418974820985903
1025,126,1.0768701443261732,48,Developmental Psychology,Video,Advance career,2012,855,2.8645794478887545
1025,1057,3.808333493597319,82,Game Theory,Interactive,Personal interest,2000,981,0.01399242401009082
1026,296,2.730369539077933,69,Quantum Mechanics,Text,Advance career,2002,371,1.9382012427657391
1026,1329,2.196648931856934,8,Social Media Management,Interactive,Personal interest,2016,760,3.9953020427562813
1026,1884,3.62424639368626,37,Organizational Behavior,Interactive,Personal interest,2003,136,7.531552819348244
1026,819,1.265998356434883,21,Architecture,Interactive,Advance career,2014,645,4.947670829929117
1026,816,2.886314139729188,49,Conflict Resolution,Text,Gain new skills,2003,727,2.708746378607969
1027,1570,1.7227931629488076,84,History,Text,Gain new skills,2009,470,3.613299047881698
1027,1257,4.175510641761791,116,Linguistics,Video,Gain new skills,2005,693,9.108627487784842
1027,901,1.3262009846019565,112,Wilderness Survival,Interactive,Advance career,2006,72,7.06161209363605
1027,1025,4.252749537131669,78,Engineering,Video,Personal interest,2005,858,6.129601210275606
1027,601,4.276526639058471,120,Quantum Computing,Video,Personal interest,2010,777,1.321967273325425
1027,516,2.9244317012160246,70,Macroeconomics,Video,Advance career,2000,43,3.64543580172814
1027,208,3.83536259382533,18,Social Media Management,Text,Gain new skills,2009,165,5.680226002386631
1027,45,1.7027988502045912,77,Marine Biology,Text,Personal interest,2016,679,9.268921521746584
1027,387,4.802799037085691,14,Software Engineering,Interactive,Advance career,2006,834,7.3232399085457525
1027,386,1.958940903870368,84,Brand Management,Video,Advance career,2018,525,8.318209864898119
1027,858,1.787119243309467,104,Photography,Interactive,Gain new skills,2008,584,6.9535647296252705
1027,944,1.4564406505983398,105,Wilderness Survival,Interactive,Gain new skills,2009,532,0.8944528020603815
1027,1512,1.381615671851072,26,Physics,Video,Gain new skills,2016,916,5.721644381200338
1028,190,1.8021078399618025,111,Linguistics,Interactive,Gain new skills,2021,707,6.566932381517049
1028,1456,2.563204090222232,90,Business Administration,Video,Advance career,2020,591,0.09177721757337776
1028,660,2.4616940388288144,49,Quantum Computing,Interactive,Gain new skills,2013,965,7.360471822087432
1028,174,2.944078172345173,71,Psychology,Text,Personal interest,2012,929,0.5752447313564413
1028,363,4.336542036609819,10,Mathematics,Interactive,Gain new skills,2013,924,7.263253985092931
1028,338,3.658693323359792,106,Astronomy,Interactive,Gain new skills,2009,884,9.596463884392175
1028,522,2.6238705532291275,49,Organizational Behavior,Text,Advance career,2018,247,7.873914010095615
1029,1624,1.0801913390071984,101,Computer Science,Interactive,Advance career,2021,804,4.203662757040468
1029,1897,1.8601269184171143,20,Pharmacology,Interactive,Gain new skills,2022,832,2.042859827475565
1029,132,3.254320650677213,80,Marketing,Video,Gain new skills,2005,378,2.2999540052501635
1029,241,4.966719981062283,73,Human Resources Management,Text,Personal interest,2017,199,3.3765490121408472
1029,1826,2.4250465989376573,54,Physics,Video,Advance career,2019,983,2.1762746084501225
1029,1437,1.4852189702281429,45,Macroeconomics,Video,Advance career,2002,322,0.7783479359991208
1029,563,2.217245979921972,82,English Language,Interactive,Personal interest,2004,989,7.117880526579473
1030,1620,3.5051113823832405,17,Human Resources Management,Text,Advance career,2003,957,5.480767609527431
1030,1081,3.475823749868357,92,Music Theory,Interactive,Gain new skills,2022,251,3.659710112948511
1030,1275,4.031725899514333,35,Architecture,Interactive,Gain new skills,2003,706,1.8014384949909967
1030,467,1.8308503212099845,26,Cybersecurity,Interactive,Personal interest,2006,985,9.767896181056777
1030,45,4.049927395300012,84,Business Administration,Text,Personal interest,2016,679,9.268921521746584
1030,1591,1.5539353208875135,47,Game Theory,Text,Personal interest,2001,489,6.003850655009105
1030,202,2.079699731254424,61,Tax Law,Interactive,Personal interest,2019,971,3.8252298930254325
1030,1749,2.67614978378059,14,Business Administration,Video,Advance career,2019,744,4.745882582157998
1030,579,3.799028720512878,113,Electrical Engineering,Video,Advance career,2010,183,0.731409644519152
1030,1887,1.9236538384746853,10,Interior Design,Video,Advance career,2019,152,1.09191786834281
1031,364,1.0177657710846515,45,Mathematics,Interactive,Personal interest,2010,200,4.487371989424639
1031,1683,1.0188802916263215,120,Political Science,Interactive,Personal interest,2009,526,7.862164476712436
1031,1217,4.709476329000821,43,Chemistry,Video,Personal interest,2022,921,7.045249373260503
1031,1666,1.019799301184356,24,Quantum Mechanics,Text,Gain new skills,2016,752,3.976550508577498
1031,1450,1.2248244611214818,43,Nanotechnology,Video,Advance career,2007,683,4.185928602171721
1031,1683,1.312687148556814,59,Art History,Text,Personal interest,2009,526,7.862164476712436
1032,1808,3.909525489218272,31,Public Relations,Text,Personal interest,2015,229,0.7818968463355613
1032,92,1.592271605490606,85,Culinary Arts,Text,Gain new skills,2002,329,5.8258136894140975
1032,1673,1.3736373692981676,117,Aerospace Engineering,Video,Advance career,2019,577,6.941436758656703
1032,414,2.057420314935224,39,Journalism,Text,Gain new skills,2022,965,8.527560484298732
1032,1514,1.8074358695935837,76,Operations Management,Video,Personal interest,2003,532,2.722638086766267
1033,1958,2.4111438369522853,25,Artificial Intelligence,Interactive,Gain new skills,2015,342,0.009253822387712551
1033,278,1.8007529659170438,71,Religious Studies,Interactive,Advance career,2015,952,3.5293389737845393
1033,278,4.351517739561686,36,Ethics,Interactive,Gain new skills,2015,952,3.5293389737845393
1033,189,3.957265559234441,102,Environmental Science,Interactive,Gain new skills,2004,838,4.560385395534274
1033,1267,1.7671241035290637,104,Game Theory,Interactive,Advance career,2013,872,2.4632102652215124
1033,554,1.011996572013285,12,Artificial Intelligence,Video,Gain new skills,2011,181,4.548982586329524
1033,64,2.377546115676481,11,Anthropology,Text,Advance career,2016,592,9.216376675891237
1033,835,3.8367758536025858,57,Mechanical Engineering,Video,Personal interest,2017,893,8.824358272097022
1033,679,2.8539528615692085,95,Game Theory,Video,Gain new skills,2002,707,4.083399035866151
1034,517,3.9376582516149465,111,Culinary Arts,Interactive,Advance career,2003,787,2.981713689440303
1034,1588,4.20164313313837,73,Mechanical Engineering,Interactive,Gain new skills,2007,916,2.4587243920591675
1034,455,4.254511718274087,17,Mechanical Engineering,Text,Personal interest,2009,357,6.026526200879171
1034,1572,4.950199913191689,55,Macroeconomics,Video,Gain new skills,2010,486,1.7076202780741856
1034,1333,2.797197645784264,59,Architecture,Text,Personal interest,2016,682,0.7048288129154123
1034,1582,2.028445186091266,111,Urban Planning,Video,Advance career,2018,719,1.541932601257846
1034,1914,1.0879340224910727,60,Art History,Text,Gain new skills,2001,585,6.896025751623066
1034,1138,4.588225052174074,55,Paleontology,Video,Personal interest,2016,362,6.435619851683186
1034,195,4.476608354809876,108,Medicine,Text,Gain new skills,2004,546,9.401238576846232
1034,596,1.503431023339707,36,Communication Studies,Video,Gain new skills,2020,178,1.5565527355225883
1034,976,2.7905357664652484,46,Deep Learning,Text,Advance career,2009,216,1.3690022353260511
1035,1398,4.191469697057435,25,Software Engineering,Video,Advance career,2009,452,7.964682818888139
1035,1697,1.1543813922363726,95,Quantum Mechanics,Text,Advance career,2015,287,7.968286192705911
1035,867,3.9686656755598615,111,Nutrition,Interactive,Gain new skills,2017,141,6.554289211630792
1035,1714,2.9410090684721104,29,Economics,Video,Gain new skills,2015,578,3.9405029208374653
1035,240,1.2986625947585655,44,Astronomy,Text,Gain new skills,2021,635,3.143236659763603
