Course ID,Course Name,Subject,Description,Instructor,Level,Duration,Language,Price,Rating,Enrollment,Skills Covered,Prerequisites,Lecture Video URL,Quiz URL,Assignment URL,Discussion Forum URL,Completion Certificate
MAT017,Mathematics Course 18,Mathematics,This course covers various topics in Mathematics.,John Doe,Intermediate,40,English,151.65,3.54,8110,"Skill 2, Skill 3, Skill 1, Skill 4","Prereq 2, Prereq 1",https://www.example.com/mathematics/lecture_17,https://www.example.com/mathematics/quiz_17,https://www.example.com/mathematics/assignment_17,https://www.example.com/mathematics/forum_17,Yes
MAT018,Mathematics Course 19,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,30,English,137.33,2.83,7546,Skill 1,"Prereq 1, Prereq 3",https://www.example.com/mathematics/lecture_18,https://www.example.com/mathematics/quiz_18,https://www.example.com/mathematics/assignment_18,https://www.example.com/mathematics/forum_18,No
MAT019,Mathematics Course 20,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,30,English,172.8,1.81,3292,"Skill 4, Skill 1, Skill 3",,https://www.example.com/mathematics/lecture_19,https://www.example.com/mathematics/quiz_19,https://www.example.com/mathematics/assignment_19,https://www.example.com/mathematics/forum_19,Yes
PHY000,Physics Course 1,Physics,This course covers various topics in Physics.,John Doe,Beginner,9,English,191.02,1.19,1641,Skill 4,,https://www.example.com/physics/lecture_0,https://www.example.com/physics/quiz_0,https://www.example.com/physics/assignment_0,https://www.example.com/physics/forum_0,No
PHY001,Physics Course 2,Physics,This course covers various topics in Physics.,John Doe,Intermediate,15,Spanish,122.74,3.58,3861,"Skill 2, Skill 1, Skill 4, Skill 3",,https://www.example.com/physics/lecture_1,https://www.example.com/physics/quiz_1,https://www.example.com/physics/assignment_1,https://www.example.com/physics/forum_1,No
PHY002,Physics Course 3,Physics,This course covers various topics in Physics.,John Doe,Advanced,23,English,87.31,4.57,2374,"Skill 3, Skill 4",,https://www.example.com/physics/lecture_2,https://www.example.com/physics/quiz_2,https://www.example.com/physics/assignment_2,https://www.example.com/physics/forum_2,No
PHY003,Physics Course 4,Physics,This course covers various topics in Physics.,John Doe,Intermediate,5,French,182.21,1.61,1287,"Skill 1, Skill 3, Skill 4, Skill 2",Prereq 2,https://www.example.com/physics/lecture_3,https://www.example.com/physics/quiz_3,https://www.example.com/physics/assignment_3,https://www.example.com/physics/forum_3,Yes
PHY004,Physics Course 5,Physics,This course covers various topics in Physics.,John Doe,Advanced,33,Spanish,172.04,3.2,9718,"Skill 3, Skill 1","Prereq 3, Prereq 1",https://www.example.com/physics/lecture_4,https://www.example.com/physics/quiz_4,https://www.example.com/physics/assignment_4,https://www.example.com/physics/forum_4,No
PHY005,Physics Course 6,Physics,This course covers various topics in Physics.,John Doe,Intermediate,13,French,54.2,2.68,4968,Skill 4,"Prereq 1, Prereq 2",https://www.example.com/physics/lecture_5,https://www.example.com/physics/quiz_5,https://www.example.com/physics/assignment_5,https://www.example.com/physics/forum_5,No
PHY006,Physics Course 7,Physics,This course covers various topics in Physics.,John Doe,Advanced,22,English,34.44,3.18,8077,Skill 2,"Prereq 2, Prereq 3, Prereq 1",https://www.example.com/physics/lecture_6,https://www.example.com/physics/quiz_6,https://www.example.com/physics/assignment_6,https://www.example.com/physics/forum_6,Yes
PHY007,Physics Course 8,Physics,This course covers various topics in Physics.,John Doe,Intermediate,34,Spanish,62.88,4.71,6877,"Skill 4, Skill 1, Skill 2, Skill 3","Prereq 1, Prereq 2, Prereq 3",https://www.example.com/physics/lecture_7,https://www.example.com/physics/quiz_7,https://www.example.com/physics/assignment_7,https://www.example.com/physics/forum_7,No
PHY008,Physics Course 9,Physics,This course covers various topics in Physics.,John Doe,Intermediate,13,Spanish,114.85,1.08,600,"Skill 1, Skill 4, Skill 3, Skill 2","Prereq 3, Prereq 1, Prereq 2",https://www.example.com/physics/lecture_8,https://www.example.com/physics/quiz_8,https://www.example.com/physics/assignment_8,https://www.example.com/physics/forum_8,Yes
PHY009,Physics Course 10,Physics,This course covers various topics in Physics.,John Doe,Advanced,47,English,174.08,4.52,4523,"Skill 2, Skill 1",,https://www.example.com/physics/lecture_9,https://www.example.com/physics/quiz_9,https://www.example.com/physics/assignment_9,https://www.example.com/physics/forum_9,Yes
PHY010,Physics Course 11,Physics,This course covers various topics in Physics.,John Doe,Advanced,49,French,100.33,2.73,4034,"Skill 2, Skill 3, Skill 1, Skill 4",Prereq 3,https://www.example.com/physics/lecture_10,https://www.example.com/physics/quiz_10,https://www.example.com/physics/assignment_10,https://www.example.com/physics/forum_10,Yes
PHY011,Physics Course 12,Physics,This course covers various topics in Physics.,John Doe,Advanced,46,French,27.67,3.32,4807,Skill 2,"Prereq 2, Prereq 1, Prereq 3",https://www.example.com/physics/lecture_11,https://www.example.com/physics/quiz_11,https://www.example.com/physics/assignment_11,https://www.example.com/physics/forum_11,Yes
PHY012,Physics Course 13,Physics,This course covers various topics in Physics.,John Doe,Advanced,42,French,64.85,2.4,8005,"Skill 4, Skill 2","Prereq 1, Prereq 3",https://www.example.com/physics/lecture_12,https://www.example.com/physics/quiz_12,https://www.example.com/physics/assignment_12,https://www.example.com/physics/forum_12,No
PHY013,Physics Course 14,Physics,This course covers various topics in Physics.,John Doe,Intermediate,37,English,91.43,2.0,2986,"Skill 2, Skill 3, Skill 1, Skill 4","Prereq 1, Prereq 2, Prereq 3",https://www.example.com/physics/lecture_13,https://www.example.com/physics/quiz_13,https://www.example.com/physics/assignment_13,https://www.example.com/physics/forum_13,No
PHY014,Physics Course 15,Physics,This course covers various topics in Physics.,John Doe,Advanced,24,Spanish,72.86,1.96,8513,"Skill 4, Skill 2, Skill 3, Skill 1",Prereq 2,https://www.example.com/physics/lecture_14,https://www.example.com/physics/quiz_14,https://www.example.com/physics/assignment_14,https://www.example.com/physics/forum_14,Yes
PHY015,Physics Course 16,Physics,This course covers various topics in Physics.,John Doe,Beginner,14,French,176.94,4.1,1091,Skill 1,"Prereq 3, Prereq 2",https://www.example.com/physics/lecture_15,https://www.example.com/physics/quiz_15,https://www.example.com/physics/assignment_15,https://www.example.com/physics/forum_15,Yes
PHY016,Physics Course 17,Physics,This course covers various topics in Physics.,John Doe,Intermediate,22,Spanish,56.74,4.9,1701,Skill 1,,https://www.example.com/physics/lecture_16,https://www.example.com/physics/quiz_16,https://www.example.com/physics/assignment_16,https://www.example.com/physics/forum_16,No
PHY017,Physics Course 18,Physics,This course covers various topics in Physics.,John Doe,Advanced,24,Spanish,101.72,4.51,6302,"Skill 3, Skill 1, Skill 4",Prereq 1,https://www.example.com/physics/lecture_17,https://www.example.com/physics/quiz_17,https://www.example.com/physics/assignment_17,https://www.example.com/physics/forum_17,No
PHY018,Physics Course 19,Physics,This course covers various topics in Physics.,John Doe,Advanced,29,Spanish,132.98,4.33,1574,"Skill 1, Skill 2","Prereq 2, Prereq 1",https://www.example.com/physics/lecture_18,https://www.example.com/physics/quiz_18,https://www.example.com/physics/assignment_18,https://www.example.com/physics/forum_18,No
PHY019,Physics Course 20,Physics,This course covers various topics in Physics.,John Doe,Advanced,29,English,49.71,4.31,3606,Skill 3,"Prereq 2, Prereq 3, Prereq 1",https://www.example.com/physics/lecture_19,https://www.example.com/physics/quiz_19,https://www.example.com/physics/assignment_19,https://www.example.com/physics/forum_19,No
CHE000,Chemistry Course 1,Chemistry,This course covers various topics in Chemistry.,John Doe,Beginner,27,Spanish,142.6,3.29,5422,"Skill 2, Skill 3, Skill 4","Prereq 3, Prereq 1, Prereq 2",https://www.example.com/chemistry/lecture_0,https://www.example.com/chemistry/quiz_0,https://www.example.com/chemistry/assignment_0,https://www.example.com/chemistry/forum_0,No
CHE001,Chemistry Course 2,Chemistry,This course covers various topics in Chemistry.,John Doe,Advanced,20,English,25.18,4.63,4432,"Skill 3, Skill 2, Skill 1, Skill 4","Prereq 1, Prereq 3, Prereq 2",https://www.example.com/chemistry/lecture_1,https://www.example.com/chemistry/quiz_1,https://www.example.com/chemistry/assignment_1,https://www.example.com/chemistry/forum_1,No
CHE002,Chemistry Course 3,Chemistry,This course covers various topics in Chemistry.,John Doe,Intermediate,5,Spanish,118.24,2.18,8648,"Skill 4, Skill 3","Prereq 3, Prereq 1, Prereq 2",https://www.example.com/chemistry/lecture_2,https://www.example.com/chemistry/quiz_2,https://www.example.com/chemistry/assignment_2,https://www.example.com/chemistry/forum_2,Yes
CHE003,Chemistry Course 4,Chemistry,This course covers various topics in Chemistry.,John Doe,Advanced,25,French,72.24,2.44,4266,"Skill 2, Skill 1, Skill 3","Prereq 1, Prereq 3",https://www.example.com/chemistry/lecture_3,https://www.example.com/chemistry/quiz_3,https://www.example.com/chemistry/assignment_3,https://www.example.com/chemistry/forum_3,Yes
CHE004,Chemistry Course 5,Chemistry,This course covers various topics in Chemistry.,John Doe,Intermediate,29,English,104.77,3.73,9687,"Skill 2, Skill 4, Skill 1, Skill 3","Prereq 1, Prereq 3, Prereq 2",https://www.example.com/chemistry/lecture_4,https://www.example.com/chemistry/quiz_4,https://www.example.com/chemistry/assignment_4,https://www.example.com/chemistry/forum_4,No
CHE005,Chemistry Course 6,Chemistry,This course covers various topics in Chemistry.,John Doe,Beginner,14,English,61.0,2.81,3744,"Skill 3, Skill 4, Skill 2, Skill 1",Prereq 2,https://www.example.com/chemistry/lecture_5,https://www.example.com/chemistry/quiz_5,https://www.example.com/chemistry/assignment_5,https://www.example.com/chemistry/forum_5,No
CHE006,Chemistry Course 7,Chemistry,This course covers various topics in Chemistry.,John Doe,Advanced,40,Spanish,179.82,1.51,3228,"Skill 2, Skill 3, Skill 4, Skill 1",Prereq 3,https://www.example.com/chemistry/lecture_6,https://www.example.com/chemistry/quiz_6,https://www.example.com/chemistry/assignment_6,https://www.example.com/chemistry/forum_6,Yes
CHE007,Chemistry Course 8,Chemistry,This course covers various topics in Chemistry.,John Doe,Intermediate,26,French,37.64,1.6,2994,"Skill 4, Skill 3",,https://www.example.com/chemistry/lecture_7,https://www.example.com/chemistry/quiz_7,https://www.example.com/chemistry/assignment_7,https://www.example.com/chemistry/forum_7,No
CHE008,Chemistry Course 9,Chemistry,This course covers various topics in Chemistry.,John Doe,Beginner,18,English,185.24,3.21,6202,"Skill 1, Skill 2, Skill 4, Skill 3","Prereq 2, Prereq 1, Prereq 3",https://www.example.com/chemistry/lecture_8,https://www.example.com/chemistry/quiz_8,https://www.example.com/chemistry/assignment_8,https://www.example.com/chemistry/forum_8,No
CHE009,Chemistry Course 10,Chemistry,This course covers various topics in Chemistry.,John Doe,Intermediate,45,Spanish,131.24,2.42,7954,"Skill 2, Skill 3",,https://www.example.com/chemistry/lecture_9,https://www.example.com/chemistry/quiz_9,https://www.example.com/chemistry/assignment_9,https://www.example.com/chemistry/forum_9,Yes
CHE010,Chemistry Course 11,Chemistry,This course covers various topics in Chemistry.,John Doe,Intermediate,30,English,194.11,2.91,7593,"Skill 1, Skill 3","Prereq 1, Prereq 2",https://www.example.com/chemistry/lecture_10,https://www.example.com/chemistry/quiz_10,https://www.example.com/chemistry/assignment_10,https://www.example.com/chemistry/forum_10,Yes
CHE011,Chemistry Course 12,Chemistry,This course covers various topics in Chemistry.,John Doe,Intermediate,36,Spanish,148.42,1.58,700,Skill 1,"Prereq 3, Prereq 1",https://www.example.com/chemistry/lecture_11,https://www.example.com/chemistry/quiz_11,https://www.example.com/chemistry/assignment_11,https://www.example.com/chemistry/forum_11,No
CHE012,Chemistry Course 13,Chemistry,This course covers various topics in Chemistry.,John Doe,Intermediate,44,French,79.8,1.17,5903,"Skill 3, Skill 1, Skill 4, Skill 2","Prereq 1, Prereq 3",https://www.example.com/chemistry/lecture_12,https://www.example.com/chemistry/quiz_12,https://www.example.com/chemistry/assignment_12,https://www.example.com/chemistry/forum_12,No
CHE013,Chemistry Course 14,Chemistry,This course covers various topics in Chemistry.,John Doe,Intermediate,35,English,46.6,3.38,4481,"Skill 4, Skill 2, Skill 1, Skill 3","Prereq 3, Prereq 1, Prereq 2",https://www.example.com/chemistry/lecture_13,https://www.example.com/chemistry/quiz_13,https://www.example.com/chemistry/assignment_13,https://www.example.com/chemistry/forum_13,Yes
CHE014,Chemistry Course 15,Chemistry,This course covers various topics in Chemistry.,John Doe,Advanced,32,French,165.16,4.9,1221,"Skill 1, Skill 2, Skill 4",Prereq 2,https://www.example.com/chemistry/lecture_14,https://www.example.com/chemistry/quiz_14,https://www.example.com/chemistry/assignment_14,https://www.example.com/chemistry/forum_14,No
CHE015,Chemistry Course 16,Chemistry,This course covers various topics in Chemistry.,John Doe,Intermediate,47,French,194.81,1.13,5438,Skill 1,Prereq 3,https://www.example.com/chemistry/lecture_15,https://www.example.com/chemistry/quiz_15,https://www.example.com/chemistry/assignment_15,https://www.example.com/chemistry/forum_15,Yes
CHE016,Chemistry Course 17,Chemistry,This course covers various topics in Chemistry.,John Doe,Beginner,10,English,22.53,3.91,4210,"Skill 3, Skill 1, Skill 2, Skill 4",,https://www.example.com/chemistry/lecture_16,https://www.example.com/chemistry/quiz_16,https://www.example.com/chemistry/assignment_16,https://www.example.com/chemistry/forum_16,No
CHE017,Chemistry Course 18,Chemistry,This course covers various topics in Chemistry.,John Doe,Beginner,17,Spanish,145.73,3.36,7733,"Skill 3, Skill 1, Skill 2","Prereq 2, Prereq 3",https://www.example.com/chemistry/lecture_17,https://www.example.com/chemistry/quiz_17,https://www.example.com/chemistry/assignment_17,https://www.example.com/chemistry/forum_17,Yes
CHE018,Chemistry Course 19,Chemistry,This course covers various topics in Chemistry.,John Doe,Advanced,45,Spanish,59.86,1.66,8974,"Skill 4, Skill 3, Skill 1",Prereq 2,https://www.example.com/chemistry/lecture_18,https://www.example.com/chemistry/quiz_18,https://www.example.com/chemistry/assignment_18,https://www.example.com/chemistry/forum_18,No
CHE019,Chemistry Course 20,Chemistry,This course covers various topics in Chemistry.,John Doe,Advanced,29,Spanish,178.24,2.65,3336,"Skill 1, Skill 2, Skill 4",,https://www.example.com/chemistry/lecture_19,https://www.example.com/chemistry/quiz_19,https://www.example.com/chemistry/assignment_19,https://www.example.com/chemistry/forum_19,No
BIO000,Biology Course 1,Biology,This course covers various topics in Biology.,John Doe,Intermediate,19,Spanish,178.38,1.03,966,"Skill 3, Skill 4, Skill 2, Skill 1","Prereq 2, Prereq 1, Prereq 3",https://www.example.com/biology/lecture_0,https://www.example.com/biology/quiz_0,https://www.example.com/biology/assignment_0,https://www.example.com/biology/forum_0,No
BIO001,Biology Course 2,Biology,This course covers various topics in Biology.,John Doe,Beginner,21,French,86.12,2.02,5459,Skill 2,"Prereq 2, Prereq 1",https://www.example.com/biology/lecture_1,https://www.example.com/biology/quiz_1,https://www.example.com/biology/assignment_1,https://www.example.com/biology/forum_1,Yes
BIO002,Biology Course 3,Biology,This course covers various topics in Biology.,John Doe,Intermediate,40,Spanish,134.85,1.75,1999,"Skill 3, Skill 4, Skill 2","Prereq 1, Prereq 2, Prereq 3",https://www.example.com/biology/lecture_2,https://www.example.com/biology/quiz_2,https://www.example.com/biology/assignment_2,https://www.example.com/biology/forum_2,No
BIO003,Biology Course 4,Biology,This course covers various topics in Biology.,John Doe,Intermediate,45,French,179.15,2.85,2796,"Skill 1, Skill 3",,https://www.example.com/biology/lecture_3,https://www.example.com/biology/quiz_3,https://www.example.com/biology/assignment_3,https://www.example.com/biology/forum_3,No
BIO004,Biology Course 5,Biology,This course covers various topics in Biology.,John Doe,Intermediate,22,Spanish,78.95,1.34,5166,"Skill 1, Skill 4, Skill 3",Prereq 1,https://www.example.com/biology/lecture_4,https://www.example.com/biology/quiz_4,https://www.example.com/biology/assignment_4,https://www.example.com/biology/forum_4,No
BIO005,Biology Course 6,Biology,This course covers various topics in Biology.,John Doe,Advanced,34,English,85.81,1.46,508,"Skill 2, Skill 4",,https://www.example.com/biology/lecture_5,https://www.example.com/biology/quiz_5,https://www.example.com/biology/assignment_5,https://www.example.com/biology/forum_5,No
BIO006,Biology Course 7,Biology,This course covers various topics in Biology.,John Doe,Intermediate,23,French,122.21,4.26,5608,Skill 3,"Prereq 3, Prereq 1",https://www.example.com/biology/lecture_6,https://www.example.com/biology/quiz_6,https://www.example.com/biology/assignment_6,https://www.example.com/biology/forum_6,No
BIO007,Biology Course 8,Biology,This course covers various topics in Biology.,John Doe,Advanced,15,English,101.12,2.3,3959,"Skill 3, Skill 1, Skill 4, Skill 2","Prereq 1, Prereq 2",https://www.example.com/biology/lecture_7,https://www.example.com/biology/quiz_7,https://www.example.com/biology/assignment_7,https://www.example.com/biology/forum_7,No
BIO008,Biology Course 9,Biology,This course covers various topics in Biology.,John Doe,Advanced,44,English,60.43,4.97,6497,"Skill 1, Skill 2, Skill 4",Prereq 2,https://www.example.com/biology/lecture_8,https://www.example.com/biology/quiz_8,https://www.example.com/biology/assignment_8,https://www.example.com/biology/forum_8,No
BIO009,Biology Course 10,Biology,This course covers various topics in Biology.,John Doe,Beginner,48,Spanish,21.98,2.43,7659,"Skill 3, Skill 2, Skill 4, Skill 1",,https://www.example.com/biology/lecture_9,https://www.example.com/biology/quiz_9,https://www.example.com/biology/assignment_9,https://www.example.com/biology/forum_9,No
BIO010,Biology Course 11,Biology,This course covers various topics in Biology.,John Doe,Advanced,50,English,28.79,2.16,2951,"Skill 1, Skill 2, Skill 3, Skill 4",Prereq 1,https://www.example.com/biology/lecture_10,https://www.example.com/biology/quiz_10,https://www.example.com/biology/assignment_10,https://www.example.com/biology/forum_10,No
BIO011,Biology Course 12,Biology,This course covers various topics in Biology.,John Doe,Beginner,20,French,181.08,4.95,8647,"Skill 3, Skill 1, Skill 4, Skill 2","Prereq 1, Prereq 2, Prereq 3",https://www.example.com/biology/lecture_11,https://www.example.com/biology/quiz_11,https://www.example.com/biology/assignment_11,https://www.example.com/biology/forum_11,No
BIO012,Biology Course 13,Biology,This course covers various topics in Biology.,John Doe,Advanced,41,French,190.6,3.66,2304,"Skill 2, Skill 1",Prereq 1,https://www.example.com/biology/lecture_12,https://www.example.com/biology/quiz_12,https://www.example.com/biology/assignment_12,https://www.example.com/biology/forum_12,No
BIO013,Biology Course 14,Biology,This course covers various topics in Biology.,John Doe,Beginner,47,English,81.81,3.73,3693,"Skill 2, Skill 3",,https://www.example.com/biology/lecture_13,https://www.example.com/biology/quiz_13,https://www.example.com/biology/assignment_13,https://www.example.com/biology/forum_13,No
BIO014,Biology Course 15,Biology,This course covers various topics in Biology.,John Doe,Beginner,24,English,149.48,3.78,142,"Skill 3, Skill 2, Skill 1, Skill 4","Prereq 2, Prereq 3, Prereq 1",https://www.example.com/biology/lecture_14,https://www.example.com/biology/quiz_14,https://www.example.com/biology/assignment_14,https://www.example.com/biology/forum_14,No
BIO015,Biology Course 16,Biology,This course covers various topics in Biology.,John Doe,Advanced,33,Spanish,117.46,2.33,890,"Skill 4, Skill 2, Skill 1, Skill 3","Prereq 2, Prereq 3, Prereq 1",https://www.example.com/biology/lecture_15,https://www.example.com/biology/quiz_15,https://www.example.com/biology/assignment_15,https://www.example.com/biology/forum_15,Yes
BIO016,Biology Course 17,Biology,This course covers various topics in Biology.,John Doe,Intermediate,37,French,111.81,2.9,1181,"Skill 4, Skill 3, Skill 2, Skill 1","Prereq 2, Prereq 1, Prereq 3",https://www.example.com/biology/lecture_16,https://www.example.com/biology/quiz_16,https://www.example.com/biology/assignment_16,https://www.example.com/biology/forum_16,Yes
BIO017,Biology Course 18,Biology,This course covers various topics in Biology.,John Doe,Beginner,27,English,196.5,4.92,1757,"Skill 1, Skill 4, Skill 2, Skill 3",,https://www.example.com/biology/lecture_17,https://www.example.com/biology/quiz_17,https://www.example.com/biology/assignment_17,https://www.example.com/biology/forum_17,Yes
BIO018,Biology Course 19,Biology,This course covers various topics in Biology.,John Doe,Beginner,34,French,83.77,3.69,7092,"Skill 1, Skill 3, Skill 4","Prereq 1, Prereq 3, Prereq 2",https://www.example.com/biology/lecture_18,https://www.example.com/biology/quiz_18,https://www.example.com/biology/assignment_18,https://www.example.com/biology/forum_18,Yes
BIO019,Biology Course 20,Biology,This course covers various topics in Biology.,John Doe,Beginner,19,English,45.15,3.79,4096,"Skill 4, Skill 3, Skill 1","Prereq 3, Prereq 2",https://www.example.com/biology/lecture_19,https://www.example.com/biology/quiz_19,https://www.example.com/biology/assignment_19,https://www.example.com/biology/forum_19,No
HIS000,History Course 1,History,This course covers various topics in History.,John Doe,Intermediate,23,French,55.62,2.73,5014,"Skill 2, Skill 1","Prereq 1, Prereq 2",https://www.example.com/history/lecture_0,https://www.example.com/history/quiz_0,https://www.example.com/history/assignment_0,https://www.example.com/history/forum_0,No
HIS001,History Course 2,History,This course covers various topics in History.,John Doe,Beginner,23,Spanish,189.58,4.36,8621,"Skill 1, Skill 4",Prereq 3,https://www.example.com/history/lecture_1,https://www.example.com/history/quiz_1,https://www.example.com/history/assignment_1,https://www.example.com/history/forum_1,Yes
HIS002,History Course 3,History,This course covers various topics in History.,John Doe,Beginner,36,French,129.55,3.49,8399,"Skill 4, Skill 3, Skill 1, Skill 2",,https://www.example.com/history/lecture_2,https://www.example.com/history/quiz_2,https://www.example.com/history/assignment_2,https://www.example.com/history/forum_2,Yes
HIS003,History Course 4,History,This course covers various topics in History.,John Doe,Intermediate,42,English,51.94,4.66,2970,"Skill 2, Skill 3, Skill 1, Skill 4","Prereq 1, Prereq 3, Prereq 2",https://www.example.com/history/lecture_3,https://www.example.com/history/quiz_3,https://www.example.com/history/assignment_3,https://www.example.com/history/forum_3,Yes
HIS004,History Course 5,History,This course covers various topics in History.,John Doe,Advanced,9,Spanish,130.46,2.31,210,"Skill 4, Skill 1","Prereq 3, Prereq 1",https://www.example.com/history/lecture_4,https://www.example.com/history/quiz_4,https://www.example.com/history/assignment_4,https://www.example.com/history/forum_4,No
HIS005,History Course 6,History,This course covers various topics in History.,John Doe,Advanced,33,Spanish,127.02,4.37,1026,"Skill 1, Skill 2, Skill 3, Skill 4","Prereq 3, Prereq 1, Prereq 2",https://www.example.com/history/lecture_5,https://www.example.com/history/quiz_5,https://www.example.com/history/assignment_5,https://www.example.com/history/forum_5,Yes
